name,origin,country_codes,age_range
Abyssinian,Egypt,EG,14 - 15
Aegean,Greece,GR,9 - 12
American Bobtail,United States,US,11 - 15
American Curl,United States,US,12 - 16
American Shorthair,United States,US,15 - 17
American Wirehair,United States,US,14 - 18
Arabian Mau,United Arab Emirates,AE,12 - 14
Australian Mist,Australia,AU,12 - 16
Balinese,United States,US,10 - 15
Bambino,United States,US,12 - 14
Bengal,United States,US,12 - 15
Birman,France,FR,14 - 15
Bombay,United States,US,12 - 16
British Longhair,United Kingdom,GB,12 - 14
British Shorthair,United Kingdom,GB,12 - 17
Burmese,Myanmar,MM,15 - 16
Burmilla,United Kingdom,GB,10 - 15
California Spangled,United States,US,10 - 14
Chantilly-Tiffany,United States,US,14 - 16
Chartreux,France,FR,12 - 15
Chausie,Egypt,EG,12 - 14
Cheetoh,United States,US,12 - 14
Colorpoint Shorthair,United States,US,12 - 16
Cornish Rex,United Kingdom,GB,11 - 14
Cymric,Canada,CA,8 - 14
Cyprus,Cyprus,CY,12 - 15
Devon Rex,United Kingdom,GB,10 - 15
Donskoy,Russia,RU,12 - 15
Dragon Li,China,CN,12 - 15
Egyptian Mau,Egypt,EG,18 - 20
European Burmese,Myanmar,MM,10 - 15
Exotic Shorthair,United States,US,12 - 15
Havana Brown,United Kingdom,GB,10 - 15
Himalayan,United States,US,9 - 15
Japanese Bobtail,Japan,JP,14 - 16
Javanese,United States,US,10 - 12
Khao Manee,Thailand,TH,10 - 12
Korat,Thailand,TH,10 - 15
Kurilian,Russia,RU,15 - 20
LaPerm,Thailand,TH,10 - 15
Maine Coon,United States,US,12 - 15
Malayan,United Kingdom,GB,12 - 18
Manx,Isle of Man,IM,12 - 14
Munchkin,United States,US,10 - 15
Nebelung,United States,US,11 - 16
Norwegian Forest Cat,Norway,NO,12 - 16
Ocicat,United States,US,12 - 14
Oriental,United States,US,12 - 14
Persian,Iran (Persia),IR,14 - 15
Pixie-bob,United States,US,13 - 16
Ragamuffin,United States,US,12 - 16
Ragdoll,United States,US,12 - 17
Russian Blue,Russia,RU,10 - 16
Savannah,United States,US,17 - 20
Scottish Fold,United Kingdom,GB,11 - 14
Selkirk Rex,United States,US,14 - 15
Siamese,Thailand,TH,12 - 15
Siberian,Russia,RU,12 - 15
Singapura,Singapore,SP,12 - 15
Snowshoe,United States,US,14 - 19
Somali,Somalia,SO,12 - 16
Sphynx,Canada,CA,12 - 14
Tonkinese,Canada,CA,14 - 16
Toyger,United States,US,12 - 15
Turkish Angora,Turkey,TR,15 - 18
Turkish Van,Turkey,TR,12 - 17
York Chocolate,United States,US,13 - 15
